,index,Año_encuesta,Region,PIA,PIM,Certificacion,Compromiso_anual,Atencion_compromiso_mensual,Devengado,Girado,%_avance,indice_anemia
155,155,2018,CAJAMARCA,94374261,122559478,120504774,119883347,117449078,117036063,116910320,95.5,0.319208072
156,156,2018,CUSCO,56758700,74753093,72149230,69062960,68866912,68750089,68744118,92.0,0.541899489
157,157,2018,HUANCAVELICA,64105469,95017163,88577868,86863623,86639592,86286066,86284216,90.8,0.557905436
158,158,2018,HUANUCO,62714180,86039456,84343025,84024300,83800827,83753563,83744937,97.3,0.438452994
159,159,2018,ICA,29594335,40252188,38379924,38214433,38155928,38152718,38100402,94.8,0.430518029
160,160,2018,JUNIN,50960918,67820796,63829922,63504993,63496799,63353855,63350626,93.4,0.570491723
161,161,2018,LA LIBERTAD,106824652,142917498,103397322,96909769,96130991,96092812,96068262,67.2,0.378562042
162,162,2018,LAMBAYEQUE,32348526,43497344,41157626,40414285,40414285,40348754,40321191,92.8,0.409868343
163,163,2018,LORETO,51020453,64430609,63806900,63720121,63719649,63678397,63629463,98.8,0.574398917
164,164,2018,MADRE DE DIOS,9892127,15385952,11891633,11838769,11696354,11611431,11608901,75.5,0.547975404
165,165,2018,MOQUEGUA,22861793,32596432,30636770,30539850,30247049,30242410,30229963,92.8,0.338999782
166,166,2018,PASCO,16984188,27442763,22235127,21974183,21914037,21850074,21848834,79.6,0.586839116
167,167,2018,PIURA,71286554,88863906,87221307,86407029,86221038,86096186,86095238,96.9,0.442048529
168,168,2018,PUNO,73485930,96320692,92044617,91935249,91851281,91842109,91822950,95.4,0.67683289
169,169,2018,SAN MARTIN,38931502,56499731,51447573,50837286,50032026,50012370,50009407,88.5,0.501416953
170,170,2018,TACNA,27574762,36651216,34767850,33313628,33309138,33298494,33291661,90.9,0.349004236
171,171,2018,TUMBES,16615362,20529387,20260701,20232470,20173770,20169027,20167982,98.2,0.471570974
172,172,2018,UCAYALI,30767195,50653418,49242591,44259315,44146454,44053298,44051216,87.0,0.56388519
173,173,2018,LIMA,46462355,63636119,62386846,62351576,62351299,61989026,61985571,97.4,0.404542371
174,174,2018,CALLAO,21147115,34074826,31156980,31031747,30724877,30621817,30612424,89.9,0.370028069
175,175,2019,AMAZONAS,102627965,110141429,106913821,68643712,67861106,67396384,67363880,61.2,0.363806768
176,176,2019,ANCASH,59298833,85048543,82681482,78994860,78994860,78809891,78805394,92.7,0.402329488
177,177,2019,APURIMAC,68742484,79366713,77918529,74156486,74147047,73909603,73908579,93.1,0.479491951
178,178,2019,AREQUIPA,40382337,60698010,58961373,58527216,58524623,58519112,58481304,96.4,0.339075772
179,179,2019,AYACUCHO,76885873,96053496,92804363,92578353,92463056,92374271,92360377,96.2,0.450242294
180,180,2019,CAJAMARCA,110628901,140963839,135721006,134585872,132347829,132274511,132090756,93.8,0.287403843
181,181,2019,CUSCO,58002084,80295996,78269058,77220856,77070438,76992729,76979379,95.9,0.573849995
182,182,2019,HUANCAVELICA,89313526,91857772,88695340,88516186,88073702,87933896,87902909,95.7,0.542126212
183,183,2019,HUANUCO,35493566,101861372,99746712,99515842,99354215,97833492,97824891,96.0,0.391104085
184,184,2019,ICA,32838495,43270034,42842988,42664773,42648064,42641821,42625626,98.5,0.375452954
185,185,2019,JUNIN,52677740,75301578,74353905,73058974,70517213,70425431,70414558,93.5,0.525539801
186,186,2019,LA LIBERTAD,104512820,111120684,105734567,95727173,93153797,93087802,93035181,83.8,0.342115512
187,187,2019,LAMBAYEQUE,38010789,56523543,52134703,51809198,51809198,51795346,51787582,91.6,0.390462307
188,188,2019,LORETO,47417446,71999648,71033410,70773500,70761812,70745058,70691676,98.3,0.529718663
189,189,2019,MADRE DE DIOS,11135316,18341148,16166806,16111399,16019441,15949018,15946737,87.0,0.51412121
190,190,2019,MOQUEGUA,29500760,32223235,30899548,30738766,30738766,30719339,30714049,95.3,0.331630603
